epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,368.109,1.02194,0.47592,0.9804,0.86163,0.88278,0.91996,0.49486,1.66293,0.65067,1.29082,0.001109,0.001109,0.001109
92,372.092,1.05086,0.48443,0.98827,0.87628,0.88506,0.91955,0.47875,1.68604,0.68865,1.31574,0.0010991,0.0010991,0.0010991
93,376.074,1.0693,0.4888,0.99892,0.86745,0.87758,0.91455,0.47634,1.66441,0.6779,1.31509,0.0010892,0.0010892,0.0010892
94,380.082,1.04866,0.48325,0.99003,0.90415,0.84674,0.91477,0.47437,1.66041,0.67975,1.32257,0.0010793,0.0010793,0.0010793
95,384.098,1.03717,0.47631,0.988,0.85678,0.88123,0.91109,0.4946,1.68409,0.66208,1.30171,0.0010694,0.0010694,0.0010694
96,388.072,1.01196,0.46945,0.97725,0.88387,0.87739,0.91355,0.49507,1.66428,0.63275,1.30265,0.0010595,0.0010595,0.0010595
97,392.08,1.01069,0.46533,0.97791,0.85435,0.91188,0.91886,0.50431,1.6572,0.64814,1.30432,0.0010496,0.0010496,0.0010496
98,396.204,1.01382,0.47129,0.97937,0.86655,0.90805,0.93026,0.49237,1.66219,0.64562,1.31767,0.0010397,0.0010397,0.0010397
99,400.225,1.00758,0.46673,0.97418,0.87193,0.88686,0.9157,0.4806,1.65983,0.64124,1.31888,0.0010298,0.0010298,0.0010298
100,404.155,0.99901,0.45987,0.97643,0.87027,0.87739,0.91708,0.50392,1.62179,0.64404,1.28228,0.0010199,0.0010199,0.0010199
101,408.112,1.02957,0.4749,0.98022,0.86668,0.88123,0.91501,0.49665,1.63698,0.64596,1.28408,0.00101,0.00101,0.00101
102,412.174,0.97567,0.45441,0.95636,0.9028,0.85441,0.91106,0.48928,1.67501,0.66432,1.31263,0.0010001,0.0010001,0.0010001
103,416.168,0.99171,0.45626,0.96877,0.86824,0.85844,0.89744,0.49241,1.69054,0.63725,1.33305,0.0009902,0.0009902,0.0009902
104,420.107,0.97064,0.45804,0.96458,0.8928,0.85824,0.90918,0.4945,1.66386,0.62549,1.31906,0.0009803,0.0009803,0.0009803
105,424.089,0.95356,0.44902,0.95241,0.88303,0.87739,0.90274,0.48928,1.66563,0.66026,1.31188,0.0009704,0.0009704,0.0009704
106,428.043,0.9416,0.4481,0.94384,0.85766,0.87739,0.89896,0.49495,1.67493,0.65695,1.34022,0.0009605,0.0009605,0.0009605
107,432.049,0.94106,0.44908,0.95958,0.87145,0.85057,0.91206,0.49762,1.64003,0.65176,1.31133,0.0009506,0.0009506,0.0009506
108,436.154,0.96135,0.45384,0.95553,0.88161,0.90038,0.9167,0.49317,1.64435,0.6374,1.31733,0.0009407,0.0009407,0.0009407
